vine,scion,rootstock,row,block,slice,ring,width_cm
Cab_Ramsey_28_2,Cab,Ramsey,28,2,Slice 317,3,0.317392075
Chard_Teleki 5C_14_2,Chard,Teleki 5C,14,2,Slice 1320,3,0.184483366
Chard_Schwarzmann_11_3,Chard,Schwarzmann,11,3,Slice 1324,3,0.215450432
Cab_101-14 MGT_23_3,Cab,101-14 MGT,23,3,Slice 893,3,0.194846548
Cab_140 Ruggeri_22_3,Cab,140 Ruggeri,22,3,Slice 1463,3,0.353276595
Chard_1103 Paulsen_10_1,Chard,1103 Paulsen,10,1,Slice 738,3,0.212230362
Cab_K51-32_21_4,Cab,K51-32,21,4,Slice 268,3,0.303499283
Chard_420 A_6_3,Chard,420 A,6,3,Slice 1309,3,0.188070942
Chard_Ramsey_4_1,Chard,Ramsey,4,1,Slice 811,3,0.17956392
Chard_775 Paulsen_7_4,Chard,775 Paulsen,7,4,Slice 284,3,0.179867976
Chard_Teleki 5C_2_1,Chard,Teleki 5C,2,1,Slice 1337,3,0.193979128
Cab_775 Paulsen_16_1,Cab,775 Paulsen,16,1,Slice 237,3,0.469188963
Cab_1103 Paulsen_23_1,Cab,1103 Paulsen,23,1,Slice 842,3,0.549872811
Chard_420 A_9_2,Chard,420 A,9,2,Slice 1254,3,0.142364971
Chard_140 Ruggeri_4_2,Chard,140 Ruggeri,4,2,Slice 956,3,0.375881969
Cab_101-14 MGT_25_2,Cab,101-14 MGT,25,2,Slice 746,3,0.237733121
Chard_Freedom_13_1,Chard,Freedom,13,1,Sice 1365,3,0.232077596
Chard_Schwarzmann_7_1,Chard,Schwarzmann,7,1,Slice 1246,3,0.200259313
Chard_101-14 MGT_13_2,Chard,101-14 MGT,13,2,Slice 787,3,0.195241314
Cab_101-14 MGT_19_1,Cab,101-14 MGT,19,1,Slice 295,3,0.199424392
Chard_140 Ruggeri_14_3,Chard,140 Ruggeri,14,3,Slice 1234,3,0.327484071
Chard_1103 Paulsen_4_4,Chard,1103 Paulsen,4,4,Slice 1233,3,0.295970356
Chard_1103 Paulsen_5_2,Chard,1103 Paulsen,5,2,Slice 1322,3,0.260284077
Chard_420 A_2_4,Chard,420 A,2,4,Slice 1319,3,0.266702492
Cab_3309 Couderc_24_4,Cab,3309 Couderc,24,4,Slice 1350,3,0.208045395
Chard_Teleki 5C_10_3,Chard,Teleki 5C,10,3,Slice 1445,3,0.21835325
Cab_Teleki 5C_17_3,Cab,Teleki 5C,17,3,Slice 266,3,0.32509284
Cab_Teleki 5C_22_2,Cab,Teleki 5C,22,2,Slice 1182,3,0.166160947
Cab_K51-32_24_3,Cab,K51-32,24,3,Slice 263,3,0.272819535
Chard_K51-32_11_2,Chard,K51-32,11,2,Slice 262,3,0.12208819
Cab_SO4_20_2,Cab,SO4,20,2,Slice 498,3,0.249783003
Chard_110 Richter_8_1,Chard,110 Richter,8,1,Slice 810,3,0.275687775
Cab_Freedom_26_2,Cab,Freedom,26,2,Slice 1324,3,0.302637925
Chard_140 Ruggeri_3_4,Chard,140 Ruggeri,3,4,Slice 154,3,0.3130729
Cab_101-14 MGT_23_3,Cab,101-14 MGT,23,3,Slice 1359,3,0.260772604
Cab_140 Ruggeri_22_1,Cab,140 Ruggeri,22,1,Slice 368,3,0.391946887
Cab_3309 Couderc_21_2,Cab,3309 Couderc,21,2,Slice 1321,3,0.273409798
Cab_140 Ruggeri_22_3,Cab,140 Ruggeri,22,3,Slice 1048,3,0.390633886
Chard_1103 Paulsen_4_4,Chard,1103 Paulsen,4,4,Slice 326,3,0.388604666
Chard_110 Richter_12_4,Chard,110 Richter,12,4,Slice 705,3,0.23855787
Cab_1103 Paulsen_19_2,Cab,1103 Paulsen,19,2,Slice 1346,3,0.267553848
Cab_Teleki 5C_17_3,Cab,Teleki 5C,17,3,Slice 672,3,0.303446932
Cab_3309 Couderc_24_4,Cab,3309 Couderc,24,4,Slice 882,3,0.217272009
Chard_Kober 5BB_13_4,Chard,Kober 5BB,13,4,Slice 693,3,0.267663658
Chard_Teleki 5C_9_3,Chard,Teleki 5C,9,3,Slice 1618,3,0.138489621
Cab_Freedom_26_2,Cab,Freedom,26,2,Slice 797,3,0.304001904
Chard_110 Richter_8_1,Chard,110 Richter,8,1,Slice 1406,3,0.294477403
Cab_K51-32_27_2,Cab,K51-32,27,2,Slice 1402,3,0.406011363
Cab_039-16_24_2,Cab,039-16,24,2,Slice 955,3,0.282404258
Cab_110 Richter_25_4,Cab,110 Richter,25,4,Slice 757,3,0.41140479
Chard_3309 Couderc_10_2,Chard,3309 Couderc,10,2,Slice 1544,3,0.357882363
Chard_Freedom_13_1,Chard,Freedom,13,1,Slice 787,3,0.219076032
Chard_SO4_11_1,Chard,SO4,11,1,Slice 364,3,0.209350747
Chard_420 A_9_2,Chard,420 A,9,2,Slice 211,3,0.162390559
Chard_Teleki 5C_2_1,Chard,Teleki 5C,2,1,Slice 195,3,0.22892553
Chard_SO4_11_1,Chard,SO4,11,1,Slice 1453,3,0.239348023
Cab_Ramsey_17_4,Cab,Ramsey,17,4,Slice 1330,3,0.251543781
Cab_1103 Paulsen_23_1,Cab,1103 Paulsen,23,1,Slice 1334,3,0.551077724
Cab_Ramsey_17_1,Cab,Ramsey,17,1,Slice 295,3,0.41609771
Chard_775 Paulsen_2_3,Chard,775 Paulsen,2,3,Slice 1344,3,0.295129942
Chard_SO4_13_4,Chard,SO4,13,4,Slice 772,3,0.234744399
