vine,scion,rootstock,block,year,soluble_solids_content,titratable_acidity_gL,pH,berry_weight_g,yield_kg,cluster_number,pruning_weight_kg,yield_div_pruning_weight,avg_cluster_weight_g,cluster_divide_berry_weight,bloom_petiole_B_mgL,bloom_petiole_Ca_mgL,bloom_petiole_Cl_mgL,bloom_petiole_Cu_mgL,bloom_petiole_Fe_mgL,bloom_petiole_K_mgL,bloom_petiole_Mg_mgL,bloom_petiole_Mn_mgL,bloom_petiole_Na_mgL,bloom_petiole_NO3_mgL,bloom_petiole_P_mgL,bloom_petiole_S_mgL,bloom_petiole_Zn_mgL,cordon_length_Mvine,shoots_per_linearm,shoots_per_vine,yeast_assimilable_N_mgL,early_1,late_1,early_2,late_2,early_3,late_3,early_4,late_4,early_5,late_5,early_6,late_6,early_7,late_7,early_8,late_8,outer_rings,cambium,total_width
Cab_101-14 MGT_1,Cab,101-14 MGT,1,1999,23,8,3.31,1.23,13.66666667,133.3333333,0.68,20.09803922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.793417308,0.079382522,0.487623133,0.062140768,0.093399668,0.093620529,0.19920673,0.091956435,0.210467105,0.101595394,0.282847065,0.085502335,0.196722499,0.081607877,0.082250773,0.105575493,1.439815478,0.057273679,4.54440479
Cab_101-14 MGT_2,Cab,101-14 MGT,2,1999,22.5,6,3.5,0.989,13,117.3333333,0.64,20.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.769202727,0.068888734,0.426268909,0.056173386,0.103969747,0.100084899,0.099675398,0.067446395,0.103615749,0.067521292,0.074803445,0.080548152,0.056514524,0.076308705,0.038708851,0.052600801,1.050241658,0.062382351,3.354955722
Cab_101-14 MGT_3,Cab,101-14 MGT,3,1999,23.3,6.35,3.38,1.144,13.66666667,110,1.266666667,10.78947368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.011832349,0.0772544,0.42769368,0.067509291,0.132168413,0.087409112,0.135943539,0.088224408,0.126663126,0.072586437,0.162766635,0.073365468,0.080196165,0.080108105,0.09251621,0.105093199,1.60850494,0.075824035,4.505659512
Cab_101-14 MGT_4,Cab,101-14 MGT,4,1999,23,6,3.57,1.343,12.33333333,129.6666667,1.333333333,9.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.952124489,0.060589659,0.391345057,0.083856727,0.156813221,0.104443048,0.16692433,0.075515676,0.155391477,0.060807664,0.108100888,0.07907053,0.054334942,0.062332707,0.062831871,0.07039735,1.352358068,0.066332393,4.063570097
Cab_110 Richter_1,Cab,110 Richter,1,1999,23.4,8.9,3.22,1.267,13,141,1.266666667,10.26315789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.714314253,0.048067608,0.590456403,0.068958873,0.27316371,0.076690801,0.135522471,0.094234277,0.155890288,0.112963627,0.16947192,0.101749692,0.195802831,0.099884765,0.103297465,0.110004648,2.040029837,0.089790402,5.180293871
Cab_110 Richter_2,Cab,110 Richter,2,1999,23,7.1,3.4,1.343,17,139,0.97,17.5257732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.888165152,0.074890679,0.483366654,0.083057075,0.112632449,0.149926666,0.156423442,0.123680372,0.113472302,0.109510497,0.153796722,0.113937232,0.096315012,0.082813186,0.070156757,0.091553277,1.369754195,0.061947838,4.335399508
Cab_110 Richter_3,Cab,110 Richter,3,1999,23,8.05,3.34,1.126,16,173,1.366666667,11.70731707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.464576478,0.049967431,0.517722517,0.074408327,0.335155658,0.065473774,0.239148876,0.058276021,0.239989989,0.066536011,0.195141859,0.06953997,0.165129851,0.063928365,0.10801857,0.06950862,1.865920041,0.086236849,4.734679208
Cab_110 Richter_4,Cab,110 Richter,4,1999,23.5,6.3,3.69,1.281,17.66666667,101,1.7,10.39215686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.649965914,0.051009884,0.509601423,0.072332024,0.313321378,0.092535967,0.204370859,0.095369087,0.174899978,0.099636878,0.205943617,0.102626963,0.085062402,0.076059752,0.131656124,0.113275052,1.839823548,0.062203762,4.879694613
Cab_1103 Paulsen_1,Cab,1103 Paulsen,1,1999,23.5,7.9,3.21,1.274,12.3,113,1.05,11.71428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.407700498,0.057924652,0.635397555,0.069328742,0.44382777,0.07903548,0.244943706,0.087296111,0.143873011,0.064434362,0.125067812,0.075536475,0.071470078,0.052125031,0.07938937,0.080442307,1.731467236,0.082343861,4.531604058
Cab_1103 Paulsen_2,Cab,1103 Paulsen,2,1999,24,8.6,3.25,1.325,16.66666667,163.6666667,1.5,11.11111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79805446,0.064125302,0.291711135,0.10348492,0.12183977,0.11732754,0.167054793,0.112320588,0.195966435,0.095188746,0.180544788,0.103336688,0.175660516,0.125300879,0.083600063,0.123091801,1.704457604,0.073669848,4.636735876
Cab_1103 Paulsen_3,Cab,1103 Paulsen,3,1999,23.2,8.25,3.29,1.13,18.66666667,136.6666667,1.966666667,9.491525424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.657912076,0.053946445,0.513344554,0.049779604,0.341097206,0.09173253,0.209830172,0.100377175,0.210299504,0.097998847,0.230551023,0.107681655,0.130192341,0.078524226,0.120931342,0.103119467,1.547573712,0.119456142,4.764348022
Cab_1103 Paulsen_4,Cab,1103 Paulsen,4,1999,22,6.4,3.67,1.252,19.33333333,169,2.133333333,9.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.865665341,0.076594829,0.49199969,0.075622887,0.169117719,0.106672909,0.20716195,0.102386575,0.165180245,0.075077668,0.200399244,0.07718616,0.112184379,0.086316173,0.086387056,0.119425473,1.715424851,0.079189417,4.811992566
Cab_140 Ruggeri_1,Cab,140 Ruggeri,1,1999,23.2,8.8,3.18,1.311,11.6,104,0.596666667,19.44134078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.626491259,0.063530168,0.220892134,0.063485251,0.300803609,0.061666547,0.201276931,0.075879352,0.218867419,0.092813361,0.210560826,0.083054869,0.082065397,0.063414554,0.049340357,0.069582681,1.300612598,0.073344736,3.857682047
Cab_140 Ruggeri_2,Cab,140 Ruggeri,2,1999,22.1,8,3.3,1.112,13.56666667,114.6666667,0.776666667,17.46781116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.783339516,0.075236207,0.289097265,0.080876436,0.305723282,0.077706944,0.350601677,0.078913743,0.352822456,0.085473284,0.219822865,0.061290767,0.082599521,0.075565826,0.118800503,0.071812894,1.918114108,0.073600722,5.101398018
Cab_140 Ruggeri_3,Cab,140 Ruggeri,3,1999,24,7.85,3.29,1.429,14.33333333,123.6666667,1.173333333,12.21590909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.673551415,0.08073592,0.38137783,0.075489466,0.28040691,0.084368403,0.222595701,0.092863371,0.166914797,0.094085342,0.087904144,0.075587546,0.102692346,0.10140587,0.074946523,0.057813534,1.378683727,0.143424264,4.174847108
Cab_140 Ruggeri_4,Cab,140 Ruggeri,4,1999,23,6.3,3.52,1.101,13,148,1.233333333,10.54054054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.826847607,0.067252247,0.406146644,0.079907358,0.242322087,0.101934363,0.198206203,0.067383335,0.164648237,0.104169457,0.106393355,0.062931661,0.098746697,0.06568373,0.060279933,0.070401849,1.431930516,0.066132604,4.221317883
Cab_3309 Couderc_1,Cab,3309 Couderc,1,1999,25.1,8.4,3.19,1.216,7.1,88.66666667,0.763333333,9.301310044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.967546512,0.063893473,0.383605131,0.087812847,0.181051997,0.139842456,0.244244694,0.100261375,0.199000508,0.088068453,0.227929026,0.078236201,0.150309481,0.084893537,0.082588779,0.084343031,1.188504029,0.055085004,4.407216535
Cab_3309 Couderc_2,Cab,3309 Couderc,2,1999,24,8.2,3.26,1.831,18,162.3333333,1.223333333,14.71389646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06846229,0.069043422,0.368499034,0.079824683,0.198436484,0.111854046,0.196242968,0.101025019,0.217000885,0.096517354,0.199894369,0.093310893,0.149362107,0.094257389,0.071206843,0.076152633,1.209139089,0.072555938,4.472785445
Cab_3309 Couderc_3,Cab,3309 Couderc,3,1999,22.1,6.5,3.47,1.16,14,125.3333333,1.35,10.37037037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.001681235,0.071308809,0.467410292,0.06993763,0.09967943,0.097206379,0.155567464,0.108657616,0.198985342,0.090459996,0.145643699,0.107210373,0.093437565,0.095338666,0.078244759,0.100221595,1.643950678,0.081913934,4.706855462
Cab_3309 Couderc_4,Cab,3309 Couderc,4,1999,23.1,5.7,3.65,1.38,13.33333333,130,1.266666667,10.52631579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.723939977,0.056567181,0.523021658,0.060406816,0.132540455,0.098905487,0.190180794,0.079408609,0.193449333,0.077305419,0.15051471,0.083437561,0.092505369,0.058249629,0.045240579,0.063490766,1.660454904,0.048265042,4.337884291
Cab_420 A_1,Cab,420 A,1,1999,22.2,5.7,3.51,1.228,15,144.3333333,0.703333333,21.32701422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.812931796,0.057120125,0.419764422,0.058223471,0.189441195,0.118031068,0.20757922,0.090202807,0.129786531,0.069446661,0.166711952,0.086267472,0.165287591,0.087261621,0.08151323,0.070557072,1.190744167,0.064709561,4.065579962
Cab_420 A_2,Cab,420 A,2,1999,21.2,8.1,3.36,1.076,10.43333333,110.3333333,0.263333333,39.62025316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.962638613,0.077361882,0.307677899,0.07392686,0.109674276,0.119741384,0.177739017,0.08269819,0.16773386,0.082904032,0.100425425,0.068558002,0.053011283,0.056292069,0.037477548,0.073220365,1.416667616,0.068738063,4.036486386
Cab_775 Paulsen_1,Cab,775 Paulsen,1,1999,25,7.25,3.51,1.095,4.966666667,112.3333333,1.35,3.679012346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.763874642,0.05700573,0.550598542,0.079571302,0.325745156,0.080301966,0.308722052,0.075838118,0.251519835,0.067014517,0.110335046,0.061516558,0.091665215,0.085762323,0.062065344,0.043616135,1.861871589,0.062916656,4.939940728
Cab_775 Paulsen_2,Cab,775 Paulsen,2,1999,23.7,7.3,3.27,1.241,14.66666667,146.6666667,1.3,11.28205128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.734635221,0.067862403,0.415436323,0.082659724,0.279135243,0.083007571,0.2753519,0.088971612,0.308155254,0.089930572,0.223783878,0.099461563,0.227141525,0.093644309,0.080002956,0.062806383,1.814103462,0.066210442,5.09230034
Cab_775 Paulsen_4,Cab,775 Paulsen,4,1999,24,7.9,3.46,1.138,12.5,149,1.8,6.944444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78395886,0.060574942,0.5109369,0.061448118,0.245135029,0.086222578,0.252429247,0.072172102,0.264807027,0.075892605,0.10801009,0.058927094,0.111320582,0.09325774,0.060592373,0.057958778,1.607926065,0.070362051,4.581932183
Cab_Freedom_1,Cab,Freedom,1,1999,21.2,6.7,3.5,1.499,12.93333333,123.3333333,0.593333333,21.79775281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75912134,0.056535426,0.274477341,0.074564221,0.145776424,0.097636806,0.144959495,0.089971833,0.170159843,0.091238125,0.243541785,0.102374681,0.091331041,0.086682673,0.05728017,0.098819702,1.677312924,0.07447675,4.33626058
Cab_Freedom_2,Cab,Freedom,2,1999,23.1,6.2,3.61,1.259,19,154,0.763333333,24.89082969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81341886,0.053660134,0.336293466,0.063569633,0.244331396,0.067234762,0.195723147,0.091027086,0.160571618,0.075767532,0.166253619,0.089780888,0.097775035,0.091997345,0.06820639,0.07242213,1.144799913,0.070554166,3.90338712
Cab_Freedom_3,Cab,Freedom,3,1999,23.6,7.8,3.33,1.036,15.73333333,134.3333333,1.733333333,9.076923077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.975620872,0.065387452,0.408056745,0.06061895,0.166140543,0.086639095,0.18848246,0.08359211,0.209601798,0.089794776,0.083531872,0.082623989,0.073192951,0.071717557,0.151629035,0.100028442,1.341259834,0.053158084,4.291076562
Cab_Freedom_4,Cab,Freedom,4,1999,22,7.65,3.47,1.147,13.6,130,1.766666667,7.698113208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.765751901,0.06335908,0.384091131,0.067361105,0.174577878,0.089352264,0.151752199,0.074314404,0.167775354,0.067639194,0.100198776,0.071460512,0.054621435,0.058079885,0.095826733,0.078661624,1.730398612,0.065906288,4.261128374
Cab_K51-32_1,Cab,K51-32,1,1999,22.8,7,3.61,1.608,20.66666667,128.6666667,1.566666667,13.19148936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.887577677,0.065881093,0.500830796,0.053115728,0.09332947,0.104353513,0.139044554,0.086148253,0.125323275,0.069300475,0.125929571,0.086756881,0.076313284,0.071768038,0.130784265,0.085138856,1.22646989,0.055896448,3.983962068
Cab_K51-32_2,Cab,K51-32,2,1999,22.2,6.3,3.44,1.406,15.33333333,110.3333333,0.756666667,20.26431718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.883923383,0.070430228,0.483259429,0.058170818,0.250035617,0.093975884,0.181063656,0.085802664,0.09832654,0.070783308,0.049759851,0.050502428,0.045691599,0.048956368,0.060800215,0.06262723,1.307287162,0.060670942,3.962067323
Cab_K51-32_3,Cab,K51-32,3,1999,22,6.4,3.62,1.013,14.33333333,125.6666667,1.196666667,11.97771588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.514864166,0.045285202,0.502560682,0.064930638,0.296894579,0.070455959,0.208421849,0.098248586,0.214956077,0.095065557,0.086202883,0.073011105,0.08334377,0.057492013,0.075638457,0.070029902,1.413114442,0.053495713,4.024011582
Cab_K51-32_4,Cab,K51-32,4,1999,23.1,7.45,3.35,1.77,15.33333333,143.3333333,1.6,9.583333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.458568898,0.04868536,0.505703429,0.08093787,0.212576211,0.088309628,0.180859013,0.071203692,0.169672683,0.072624637,0.170906677,0.068377068,0.148349464,0.069977528,0.067811099,0.062575795,1.210681154,0.064547394,3.752367601
Cab_Kober 5BB_1,Cab,Kober 5BB,1,1999,21.5,6.2,3.46,1.039,11.26666667,105,0.436666667,25.80152672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.723274502,0.070612229,0.300997333,0.095907293,0.190144745,0.078904153,0.196004139,0.102352515,0.279433534,0.088548948,0.147777047,0.082767831,0.085605651,0.091860902,0.043608127,0.069713572,1.580045947,0.055814873,4.28337334
Cab_Kober 5BB_2,Cab,Kober 5BB,2,1999,24,8,3.25,1.223,14,120.6666667,1.026666667,13.63636364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77553838,0.078184416,0.326765333,0.081391193,0.146010301,0.080298097,0.192398432,0.070087418,0.242620259,0.072014832,0.189679099,0.071174219,0.120371558,0.101064581,0.094011027,0.064813525,1.598409429,0.07257676,4.377408861
Cab_Kober 5BB_3,Cab,Kober 5BB,3,1999,22,5.9,3.49,1.473,16,131.5,1,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.896668502,0.068741155,0.357797013,0.066443588,0.190715772,0.080107121,0.121480191,0.069474387,0.132435255,0.069476954,0.097718614,0.065364491,0.04846112,0.06658165,0.033264205,0.05562727,1.980567142,0.074267219,4.47519165
Cab_Ramsey_1,Cab,Ramsey,1,1999,23,9.9,3.25,1.123,13.9,161.3333333,1.12,12.41071429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.638457068,0.051808074,0.542645252,0.061456823,0.347081118,0.06687272,0.219029296,0.09533607,0.167673929,0.068921973,0.279790285,0.090583815,0.191380576,0.085562687,0.075319717,0.108845286,1.658057205,0.063404656,4.812226553
Cab_Ramsey_2,Cab,Ramsey,2,1999,21.5,6.7,3.48,1.571,22.66666667,176.6666667,1.566666667,14.46808511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.618270519,0.04543929,0.325286526,0.052791026,0.224526968,0.077949748,0.228290823,0.082680152,0.207216378,0.06716465,0.107690132,0.069544954,0.081279215,0.079008847,0.053131385,0.065131641,1.545239261,0.090896878,4.021538392
Cab_Ramsey_3,Cab,Ramsey,3,1999,23.9,7.95,3.34,1.109,13,174,1.9,6.842105263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.939130807,0.062858285,0.4148887,0.055151951,0.077669913,0.092043251,0.172860822,0.088256201,0.133086647,0.086843661,0.125320203,0.082082915,0.068968028,0.075740545,0.076770204,0.075611358,1.478283534,0.080539066,4.186106094
Cab_Ramsey_4,Cab,Ramsey,4,1999,24.9,7.2,3.39,1.082,15.33333333,120.6666667,1.466666667,10.45454545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.883253195,0.067104696,0.479791032,0.052713435,0.185809697,0.075018718,0.218171615,0.057602216,0.123160716,0.086340437,0.222477939,0.085505983,0.135383096,0.063679009,0.119228594,0.105682834,2.367287258,0.080208243,5.408418712
Cab_Schwarzmann_1,Cab,Schwarzmann,1,1999,23.6,8,3.25,1.342,14,122,0.82,17.07317073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.525844934,0.062249759,0.339345458,0.047370231,0.131027865,0.050829538,0.109541282,0.054233069,0.09415074,0.063759598,0.158196412,0.069276074,0.131295894,0.060205409,0.120519171,0.089954447,1.641493482,0.08171411,3.831007472
Cab_Schwarzmann_2,Cab,Schwarzmann,2,1999,22,8.2,3.24,1.38,13.33333333,136,0.98,13.60544218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.980710706,0.061812329,0.304097232,0.088532007,0.059145051,0.092774524,0.099043812,0.09232714,0.151876491,0.075162137,0.133745823,0.070745572,0.148660854,0.07984687,0.068168348,0.078445014,0.998050588,0.055478562,3.638623062
Cab_Schwarzmann_3,Cab,Schwarzmann,3,1999,22,5.8,3.53,1.178,13.33333333,107.3333333,0.636666667,20.94240838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.577851166,0.047150153,0.563551709,0.047965346,0.169112235,0.060310349,0.150529708,0.062281601,0.140100288,0.051251928,0.107732303,0.062153593,0.06850855,0.064799052,0.034545903,0.069065989,1.67132375,0.076577314,4.024810939
Cab_SO4_1,Cab,SO4,1,1999,24,7.1,3.43,1.159,14.33333333,128,0.686666667,20.87378641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.851733963,0.063804847,0.20180859,0.071283766,0.261212578,0.064322778,0.244802289,0.087807276,0.172838458,0.083020005,0.046032303,0.062130149,0.050844126,0.083346142,0.040589758,0.063269607,1.640326691,0.078825522,4.167998846
Cab_SO4_2,Cab,SO4,2,1999,23.2,8.4,3.22,1.218,17,152.5,0.906666667,18.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.791321818,0.063080135,0.277140108,0.083225537,0.252174385,0.083768585,0.211275961,0.095961383,0.217064776,0.078505316,0.187650066,0.0762295,0.087466728,0.079809424,0.04902484,0.061306898,1.331606472,0.081661982,4.108273913
Cab_SO4_3,Cab,SO4,3,1999,22.1,6.1,3.63,1.316,13,106.3333333,0.59,22.03389831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.849374932,0.058146895,0.57394828,0.058315108,0.333900198,0.088856798,0.241942971,0.074513553,0.197312898,0.093306463,0.076176038,0.067264816,0.075445428,0.082876726,0.071862982,0.073196735,1.892695076,0.081196882,4.990332782
Cab_SO4_4,Cab,SO4,4,1999,22.6,6.55,3.32,1.082,12,162,0.68,17.64705882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.848867345,0.062216755,0.296552635,0.092539273,0.278795591,0.089196557,0.242980612,0.079051103,0.203397343,0.078190732,0.084003403,0.05708035,0.091267205,0.08071621,0.063810137,0.06786267,1.327533114,0.059586388,4.103647423
Cab_Teleki 5C_2,Cab,Teleki 5C,2,1999,24.1,8.2,3.23,1.254,12.66666667,137,0.796666667,15.89958159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000709536,0.067126715,0.319158484,0.09078039,0.080804182,0.081575719,0.099296926,0.094367392,0.133380287,0.078539766,0.122906789,0.087900394,0.118954973,0.085081947,0.074187365,0.101400949,1.4748084,0.081151015,4.19213123
Cab_Teleki 5C_3,Cab,Teleki 5C,3,1999,21.1,7.75,3.27,1.061,12.66666667,133.6666667,0.9,14.07407407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.91537411,0.080737269,0.449315003,0.068221028,0.194111591,0.102033662,0.131616475,0.095616957,0.146989547,0.069969263,0.133655248,0.074158215,0.075346165,0.045804665,0.044158699,0.047221312,1.402016997,0.062423862,4.138770069
Cab_Teleki 5C_4,Cab,Teleki 5C,4,1999,24,6.85,3.33,1.082,12,125,0.77,15.58441558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.501927223,0.046157427,0.39884316,0.065968053,0.100604973,0.078800222,0.136915406,0.081466539,0.152257029,0.071048494,0.191170119,0.061703374,0.087590068,0.062682421,0.073317437,0.064989542,1.457005229,0.068548972,3.700995687
Cab_039-16_1,Cab,039-16,1,2017,24.8,3.6,3.63,1.4957,29.4192,156.5,5.3345,5.514893617,187.8131732,125.5687458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.84705625,NaN,NaN,115,0.76410074,0.071460769,0.236837071,0.090812628,0.086769844,0.053142374,0.095639467,0.074635818,0.110486214,0.075078786,0.166232414,0.09847958,0.122319523,0.06958376,0.10351198,0.082813235,1.575789504,0.076293019,3.953986727
Cab_039-16_2,Cab,039-16,2,2017,25.5,4,3.62,1.38745,25.9688,118,5.675,4.576,219.8768,158.4754766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9304,NaN,NaN,96,0.908112257,0.084251026,0.568801108,0.075444595,0.213741604,0.078876983,0.158137394,0.087092186,0.122316715,0.08850798,0.135303922,0.058985181,0.0709188,0.064427898,0.051209619,0.055445496,1.319216441,0.082846499,4.223635704
Cab_039-16_3,Cab,039-16,3,2017,24.9,3.8,3.64,1.28555,20.71753333,116,4.123833333,5.023853211,178.4389218,138.8035641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.718733333,NaN,NaN,68,1.021586799,0.085380377,0.419415791,0.061596384,0.118299694,0.085395156,0.208996981,0.105567237,0.204758315,0.071342239,0.181090012,0.102448942,0.073161428,0.076335394,0.077664587,0.093484723,1.27381767,0.070953221,4.33129495
